date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:31	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2011:43:31%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
12:43:31	36722/36722	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:14:39%20GMT	https://demo.dashboardpack.com/analytic-html/	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/index.html	(from )
12:43:32	1558/1558	---M--	200	added ('OK')	image/png	etag:%22632db15d-616%22	https://demo.dashboardpack.com/analytic-html/img/mini_logo.png	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/img/mini_logo.png	(from https://demo.dashboardpack.com/analytic-html/)
12:43:32	155851/155851	---MCZ	200	added ('OK')	text/css	etag:W/%22632db134-260cb%22	https://demo.dashboardpack.com/analytic-html/css/bootstrap1.min.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/css/bootstrap1.min.css	(from https://demo.dashboardpack.com/analytic-html/)
12:43:32	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%22632db1da-446c%22	https://demo.dashboardpack.com/analytic-html/vendors/themefy_icon/themify-icons.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/analytic-html/)
12:43:32	5238/5238	---MCZ	200	added ('OK')	text/css	etag:W/%22632db1cf-1b8f%22	https://demo.dashboardpack.com/analytic-html/vendors/niceselect/css/nice-select.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/analytic-html/)
12:43:32	3261/3261	---MCZ	200	added ('OK')	text/css	etag:W/%22632db1d2-1342%22	https://demo.dashboardpack.com/analytic-html/vendors/owl_carousel/css/owl.carousel.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/analytic-html/)
12:43:33	54081/54081	---MCZ	200	added ('OK')	text/css	etag:W/%22632db1c6-d341%22	https://demo.dashboardpack.com/analytic-html/vendors/gijgo/gijgo.min.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/analytic-html/)
12:43:33	55970/55970	---MCZ	200	added ('OK')	text/css	etag:W/%22632db1c2-daa2%22	https://demo.dashboardpack.com/analytic-html/vendors/font_awesome/css/all.min.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/vendors/font_awesome/css/all.min.css	(from https://demo.dashboardpack.com/analytic-html/)
12:43:33	1769/1769	---MCZ	200	added ('OK')	text/css	etag:W/%22632db1d6-921%22	https://demo.dashboardpack.com/analytic-html/vendors/tagsinput/tagsinput.css	C:/My%20Web%20Sites/Samuella%20Dashboard%202/demo.dashboardpack.com/analytic-html/vendors/tagsinput/tagsinput.css	(from https://demo.dashboardpack.com/analytic-html/)
